"Story","Title","Result","Date","Stability","Duration (s)"
"Importar localidades","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:41:55.8335541-03:00[America/Montevideo]","0.0","11.44"
"Importar localidades","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:42:07.7148891-03:00[America/Montevideo]","0.0","11.36"
"Importar localidades","Importar un archivo con columnas extras","SUCCESS","2023-04-14T17:42:19.8190898-03:00[America/Montevideo]","0.0","10.39"
"Importar localidades","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:42:30.8479115-03:00[America/Montevideo]","0.0","12.24"
"Importar localidades","Importar un archivo con datos validos","SUCCESS","2023-04-14T17:42:56.3799361-03:00[America/Montevideo]","0.0","14.5"
"Agregar registros no llames","Crear registro valido","SUCCESS","2023-04-14T17:43:11.6285641-03:00[America/Montevideo]","0.0","7.34"
"Agregar registros no llames","Crear registro utilizando caracteres invalidos","SUCCESS","2023-04-14T17:43:19.7068845-03:00[America/Montevideo]","0.0","11.44"
"Agregar registros no llames","Crear un registro utilizando campos vacios","SUCCESS","2023-04-14T17:43:31.8588499-03:00[America/Montevideo]","0.0","12.09"
"Agregar registros no llames","Crear un registro utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:43:44.3861136-03:00[America/Montevideo]","0.0","7.81"
"Agregar registros no llames","Crear un registro utilizando un numero ya en uso","SUCCESS","2023-04-14T17:43:52.6908142-03:00[America/Montevideo]","0.0","6.55"
"Eliminar registros no llames","Eliminar un registro","SUCCESS","2023-04-14T17:43:59.6696254-03:00[America/Montevideo]","0.0","10.83"
"Modificar registros no llames","Modificar registro correctamente","SUCCESS","2023-04-14T17:44:11.1802769-03:00[America/Montevideo]","0.0","8.06"
"Modificar registros no llames","Modificar el registro dejandolo vacio","SUCCESS","2023-04-14T17:44:19.8523547-03:00[America/Montevideo]","0.0","12.25"
"Modificar registros no llames","Modificar registro dejando el mismo valor que ya poseía","SUCCESS","2023-04-14T17:44:32.8595705-03:00[America/Montevideo]","0.0","7.65"
"Modificar registros no llames","Modificar registro colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-04-14T17:44:41.0791316-03:00[America/Montevideo]","0.0","8.35"
"Modificar registros no llames","Modificar registro colocando un valor invalido","SUCCESS","2023-04-14T17:44:49.9935749-03:00[America/Montevideo]","0.0","13.36"
"Funcionalidades generales de la seccion registro no llame","Buscar un registro por numero","SUCCESS","2023-04-14T17:45:03.7889619-03:00[America/Montevideo]","0.0","7.3"
"Funcionalidades generales de la seccion registro no llame","Buscar un registro inexistente","SUCCESS","2023-04-14T17:45:11.5066719-03:00[America/Montevideo]","0.0","9.01"
"Importar registros no llames","Importar un archivo con formato invalido","SUCCESS","2023-04-14T17:45:21.2688674-03:00[America/Montevideo]","0.0","10.79"
"Importar registros no llames","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:45:32.6865161-03:00[America/Montevideo]","0.0","10.89"
"Importar registros no llames","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:45:44.2024405-03:00[America/Montevideo]","0.0","10.31"
"Importar registros no llames","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:46:09.4370508-03:00[America/Montevideo]","0.0","10.82"
"Importar registros no llames","Importar un archivo con datos validos","SUCCESS","2023-04-14T17:46:31.6234426-03:00[America/Montevideo]","0.0","14.53"
"Agregar pausas","Crear pausa valida","SUCCESS","2023-04-14T17:46:46.5696358-03:00[America/Montevideo]","0.0","7.29"
"Agregar pausas","Crear una pausa utilizando caracteres invalidos","SUCCESS","2023-04-14T17:46:54.4673898-03:00[America/Montevideo]","0.0","11.75"
"Agregar pausas","Crear una pausa utilizando campos vacios","SUCCESS","2023-04-14T17:47:06.8338318-03:00[America/Montevideo]","0.0","12.89"
"Agregar pausas","Crear una pausa utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:47:20.4301687-03:00[America/Montevideo]","0.0","8.7"
"Agregar pausas","Crear una pausa utilizando un dtmf ya en uso","SUCCESS","2023-04-14T17:47:29.7924197-03:00[America/Montevideo]","0.0","7.19"
"Agregar pausas","Crear una pausa utilizando una descripcion ya en uso","SUCCESS","2023-04-14T17:47:37.6102307-03:00[America/Montevideo]","0.0","7.33"
"Eliminar pausas","Eliminar una pausa","SUCCESS","2023-04-14T17:47:45.6205787-03:00[America/Montevideo]","0.0","10.2"
"Modificar pausas","Modificar pausa correctamente","SUCCESS","2023-04-14T17:47:56.4883259-03:00[America/Montevideo]","0.0","7.82"
"Modificar pausas","Colocar una descripcion vacia","SUCCESS","2023-04-14T17:48:04.8073012-03:00[America/Montevideo]","0.0","12.35"
"Modificar pausas","Modificar pausa dejando el mismo valor que ya tenia","SUCCESS","2023-04-14T17:48:17.62046-03:00[America/Montevideo]","0.0","8.14"
"Modificar pausas","Modificar pausa colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-04-14T17:48:26.3680451-03:00[America/Montevideo]","0.0","7.88"
"Modificar pausas","Modificar una pausa utilizando una descripcion que ya este en uso","SUCCESS","2023-04-14T17:48:34.836502-03:00[America/Montevideo]","0.0","6.55"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa por DTMF","SUCCESS","2023-04-14T17:48:42.1836351-03:00[America/Montevideo]","0.0","7.57"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa por descripcion","SUCCESS","2023-04-14T17:48:50.5210317-03:00[America/Montevideo]","0.0","7.22"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa inexistente","SUCCESS","2023-04-14T17:48:58.4465817-03:00[America/Montevideo]","0.0","6.72"
"Importar pausas","Importar un archivo con formato invalido","SUCCESS","2023-04-14T17:49:05.7318278-03:00[America/Montevideo]","0.0","10.72"
"Importar pausas","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:49:16.9443738-03:00[America/Montevideo]","0.0","11.57"
"Importar pausas","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:49:29.1866861-03:00[America/Montevideo]","0.0","11.75"
"Importar pausas","Importar un archivo con columnas extras","SUCCESS","2023-04-14T17:49:41.408215-03:00[America/Montevideo]","0.0","10.65"
"Importar pausas","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:49:52.5891965-03:00[America/Montevideo]","0.0","11.65"
"Importar pausas","Importar un archivo con datos validos","SUCCESS","2023-04-14T17:50:19.6252611-03:00[America/Montevideo]","0.0","13.91"
